,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.7, 0.025, 7.0)",70.1875,59.7282,61.75970000000052,62.425800000000514
"(0.7, 0.025, 7.5)",69.72000000000004,59.30749999999998,61.66290000000053,62.429000000000535
"(0.7, 0.025, 8.0)",69.93419999999999,60.149800000000006,61.86250000000054,62.23960000000054
"(0.7, 0.025, 8.5)",69.99209999999994,59.9263,61.86230000000054,62.43240000000054
"(0.7, 0.025, 9.0)",70.38839999999995,58.85570000000004,61.76200000000053,62.33010000000054
"(0.7, 0.025, 9.5)",69.35620000000003,59.14680000000004,61.76100000000053,62.42220000000053
"(0.7, 0.05, 1.0)",47.31229999999992,56.63140000000004,81.19179999999997,80.16670000000016
"(0.7, 0.05, 1.5)",53.65550000000003,54.913699999999956,78.74070000000009,76.61710000000016
"(0.7, 0.05, 2.0)",58.14120000000002,53.00530000000003,75.5246000000001,73.7119000000003
"(0.7, 0.05, 2.5)",60.452500000000015,53.017199999999924,71.30560000000024,71.59050000000042
"(0.7, 0.05, 3.0)",61.37480000000006,50.63219999999992,69.4539000000004,70.6731000000004
"(0.7, 0.05, 3.5)",62.95130000000005,49.48459999999998,67.40470000000036,69.30170000000041
"(0.7, 0.05, 4.0)",62.308800000000005,49.69619999999996,66.71710000000049,68.5852000000004
"(0.7, 0.05, 4.5)",62.47559999999998,48.218899999999984,65.79400000000052,68.42400000000042
"(0.7, 0.05, 5.0)",63.279399999999995,49.717999999999996,65.4633000000005,68.0405000000004
"(0.7, 0.05, 5.5)",62.401900000000055,48.512199999999986,63.993000000000535,66.25120000000047
"(0.7, 0.05, 6.0)",61.595199999999956,47.4802999999999,62.64270000000056,65.28840000000051
"(0.7, 0.05, 6.5)",62.15549999999994,48.454099999999954,62.75440000000056,65.81880000000052
"(0.7, 0.05, 7.0)",61.20480000000004,48.62789999999996,62.395700000000545,65.38680000000055
"(0.7, 0.05, 7.5)",61.62939999999997,47.986599999999974,62.39850000000053,65.13610000000052
"(0.7, 0.05, 8.0)",60.76999999999996,48.538899999999956,61.914100000000545,64.81450000000052
"(0.7, 0.05, 8.5)",59.442400000000006,47.07769999999994,62.218800000000535,64.92130000000054
"(0.7, 0.05, 9.0)",59.61629999999995,47.06509999999996,62.31700000000052,64.98730000000053
"(0.7, 0.05, 9.5)",58.85410000000006,46.49709999999999,62.30580000000052,64.90350000000052
"(0.7, 0.1, 1.0)",46.859200000000016,47.596900000000026,81.40039999999989,88.42230000000018
"(0.7, 0.1, 1.5)",52.054599999999965,44.66080000000005,80.92600000000006,86.03160000000018
"(0.7, 0.1, 2.0)",55.15340000000002,39.6386,80.72719999999994,84.4997000000003
"(0.7, 0.1, 2.5)",56.7370000000001,38.660100000000014,78.38760000000013,82.30170000000025
"(0.7, 0.1, 3.0)",58.16850000000014,38.550300000000064,76.87580000000024,82.03250000000014
"(0.7, 0.1, 3.5)",57.06760000000003,35.98209999999994,75.52420000000025,80.83850000000021
"(0.7, 0.1, 4.0)",57.29710000000005,35.51739999999993,73.00170000000027,79.97040000000025
"(0.7, 0.1, 4.5)",55.65499999999995,35.37359999999993,72.21900000000034,79.68030000000019
"(0.7, 0.1, 5.0)",56.27490000000012,35.18809999999991,70.73370000000041,78.5087000000002
"(0.7, 0.1, 5.5)",55.680599999999984,35.981299999999955,69.47380000000041,78.15310000000025
"(0.7, 0.1, 6.0)",55.467400000000005,35.696999999999896,68.5278000000005,77.79350000000025
"(0.7, 0.1, 6.5)",55.121799999999936,34.32869999999985,67.74620000000041,77.80780000000024
"(0.7, 0.1, 7.0)",54.47250000000005,34.31789999999988,66.85370000000043,77.2043000000003
"(0.7, 0.1, 7.5)",53.650300000000016,35.487199999999916,66.54760000000049,77.48850000000024
"(0.7, 0.1, 8.0)",53.91289999999994,34.880999999999894,66.22720000000045,77.40230000000025
"(0.7, 0.1, 8.5)",52.78390000000001,34.69029999999989,65.53570000000056,77.07120000000026
"(0.7, 0.1, 9.0)",51.069000000000024,34.887099999999926,65.28790000000056,76.95330000000027
"(0.7, 0.1, 9.5)",49.948699999999974,34.30219999999986,65.05690000000055,76.5106000000003
"(0.75, 0.025, 1.0)",48.546600000000055,67.62810000000003,76.44460000000008,72.32560000000028
"(0.75, 0.025, 1.5)",56.238200000000035,68.31219999999998,72.04930000000022,69.80110000000025
"(0.75, 0.025, 2.0)",61.92589999999996,66.51050000000002,68.22170000000027,67.1120000000003
"(0.75, 0.025, 2.5)",65.01400000000001,64.41840000000002,66.34230000000038,66.75540000000042
"(0.75, 0.025, 3.0)",66.97580000000008,64.3736999999999,65.69130000000044,65.56420000000045
"(0.75, 0.025, 3.5)",68.25930000000005,62.43409999999988,65.09880000000042,64.99360000000044
"(0.75, 0.025, 4.0)",69.33150000000002,60.793299999999974,64.42480000000047,64.90340000000046
"(0.75, 0.025, 4.5)",69.27030000000002,60.30839999999998,63.747400000000496,64.31560000000046
"(0.75, 0.025, 5.0)",69.79359999999996,63.1892999999999,62.85050000000054,63.51860000000052
"(0.75, 0.025, 5.5)",69.21790000000003,60.485999999999954,62.25690000000052,63.017000000000515
"(0.75, 0.025, 6.0)",69.23520000000006,59.62129999999995,61.85800000000051,62.7150000000005
"(0.75, 0.025, 6.5)",69.98450000000003,60.55270000000003,61.85810000000052,62.71490000000052
"(0.75, 0.025, 7.0)",69.66129999999997,61.00510000000005,61.76000000000053,62.622000000000526
"(0.75, 0.025, 7.5)",69.97839999999998,60.150100000000045,61.86210000000054,62.433600000000546
"(0.75, 0.025, 8.0)",69.61800000000005,61.13370000000009,61.86250000000054,62.43470000000054
"(0.75, 0.025, 8.5)",68.72030000000004,61.10300000000012,61.66330000000053,62.23350000000054
"(0.75, 0.025, 9.0)",68.7852,59.28780000000005,61.761500000000524,62.23410000000054
"(0.75, 0.025, 9.5)",68.76509999999996,58.54040000000001,61.562300000000526,62.035000000000544
"(0.75, 0.05, 1.0)",48.17130000000002,55.35410000000003,81.12560000000005,80.43240000000009
"(0.75, 0.05, 1.5)",54.34860000000001,53.19319999999999,78.55420000000008,77.34780000000019
"(0.75, 0.05, 2.0)",59.02580000000005,52.82789999999994,74.97130000000017,73.6334000000003
"(0.75, 0.05, 2.5)",61.05990000000005,52.17449999999999,71.73240000000033,72.28980000000041
"(0.75, 0.05, 3.0)",61.630200000000094,49.48690000000004,69.5280000000004,71.00150000000042
"(0.75, 0.05, 3.5)",61.330900000000014,49.31999999999997,67.21930000000035,69.75870000000039
"(0.75, 0.05, 4.0)",61.91930000000002,48.5133,67.18360000000048,69.55270000000039
"(0.75, 0.05, 4.5)",63.34339999999997,48.20740000000001,66.5278000000005,69.3189000000004
"(0.75, 0.05, 5.0)",62.72440000000002,48.52799999999997,65.11430000000053,68.2545000000004
