,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.5, 7.5)",451.6004000000001,756.4345000000001
"(0.5, 8.0)",465.73270000000014,738.0005999999996
"(0.5, 8.5)",438.55579999999986,782.4155999999996
"(0.5, 9.0)",430.9111000000001,805.8263000000002
"(0.5, 9.5)",448.7479,789.2884
"(0.55, 1.0)",586.0051000000001,872.6436000000003
"(0.55, 1.5)",586.0338999999998,846.2244999999996
"(0.55, 2.0)",516.3457999999999,786.3123000000003
"(0.55, 2.5)",513.8838000000001,832.6385999999999
"(0.55, 3.0)",491.40200000000004,780.5518999999997
"(0.55, 3.5)",510.7717000000001,752.4749
"(0.55, 4.0)",452.7049,754.3597000000001
"(0.55, 4.5)",428.6662,763.7408999999996
"(0.55, 5.0)",425.2637000000002,744.2233
"(0.55, 5.5)",478.36339999999984,738.5810000000002
"(0.55, 6.0)",477.48810000000014,751.0120000000003
"(0.55, 6.5)",466.92600000000004,727.0651999999997
"(0.55, 7.0)",444.0233000000003,720.5043999999998
"(0.55, 7.5)",455.67189999999994,751.8633999999997
"(0.55, 8.0)",405.74810000000014,753.2259999999995
"(0.55, 8.5)",434.4514999999998,777.3622999999995
"(0.55, 9.0)",409.7237000000001,806.3077999999999
"(0.55, 9.5)",416.0344000000001,804.2243999999998
"(0.6, 1.0)",552.4322,889.542
"(0.6, 1.5)",546.7923000000003,802.6551999999999
"(0.6, 2.0)",500.86480000000006,826.1359000000001
"(0.6, 2.5)",464.4139999999999,818.1603000000005
"(0.6, 3.0)",487.19640000000015,793.6805999999996
"(0.6, 3.5)",485.76770000000005,788.1451000000002
"(0.6, 4.0)",426.6529,768.7779999999999
"(0.6, 4.5)",460.4562,777.1557999999995
"(0.6, 5.0)",474.9508999999999,796.4318000000002
"(0.6, 5.5)",413.0034,734.5266
"(0.6, 6.0)",457.84800000000007,788.6742999999999
"(0.6, 6.5)",468.84040000000005,757.2031999999998
"(0.6, 7.0)",505.74459999999993,750.6298
"(0.6, 7.5)",458.0487,715.7170000000002
"(0.6, 8.0)",448.03930000000025,738.0941
"(0.6, 8.5)",444.8909999999999,749.5934
"(0.6, 9.0)",416.71010000000007,744.5107999999993
"(0.6, 9.5)",405.9577,775.254
"(0.65, 1.0)",601.8326,864.5441000000003
"(0.65, 1.5)",553.6283000000001,864.8267000000002
"(0.65, 2.0)",536.4867999999999,829.9350999999996
"(0.65, 2.5)",488.1603999999999,763.2873000000003
"(0.65, 3.0)",465.6997999999998,752.5308000000002
"(0.65, 3.5)",464.24300000000017,757.4473999999998
"(0.65, 4.0)",392.59489999999994,740.2577
"(0.65, 4.5)",428.31170000000014,742.3015000000003
"(0.65, 5.0)",424.01280000000014,742.4238000000001
"(0.65, 5.5)",430.43600000000004,761.1371999999999
"(0.65, 6.0)",405.81029999999987,759.0655999999999
"(0.65, 6.5)",452.58689999999996,776.6598000000001
"(0.65, 7.0)",422.34729999999996,736.7802000000001
"(0.65, 7.5)",451.44349999999986,766.3626999999999
"(0.65, 8.0)",452.91009999999994,781.4355
"(0.65, 8.5)",430.5226,756.4880999999996
"(0.65, 9.0)",438.3513,764.0624000000004
"(0.65, 9.5)",416.4633999999999,763.7520000000001
"(0.7, 1.0)",572.9568000000003,868.5158
"(0.7, 1.5)",507.9502000000001,860.1703000000003
"(0.7, 2.0)",503.14350000000036,798.08
"(0.7, 2.5)",467.1112999999999,780.831
"(0.7, 3.0)",434.45269999999994,720.1840999999998
"(0.7, 3.5)",394.9241,766.0912000000001
"(0.7, 4.0)",427.12399999999985,727.7721
"(0.7, 4.5)",426.12729999999993,730.5411999999999
"(0.7, 5.0)",382.8259,744.4141999999997
"(0.7, 5.5)",437.62380000000013,749.2037
"(0.7, 6.0)",436.42810000000003,748.0470999999997
"(0.7, 6.5)",439.97470000000004,724.4070000000002
"(0.7, 7.0)",407.3211,718.2453000000002
"(0.7, 7.5)",456.2054,754.2752999999998
"(0.7, 8.0)",438.769,771.4815999999998
"(0.7, 8.5)",463.5162,740.0028999999998
"(0.7, 9.0)",467.2560999999999,759.6811999999998
"(0.7, 9.5)",403.83599999999984,722.9763
"(0.75, 1.0)",547.6052999999999,821.6823999999999
"(0.75, 1.5)",536.0165999999999,862.5810000000001
"(0.75, 2.0)",461.68140000000017,832.4294
"(0.75, 2.5)",462.4735000000001,758.7215999999999
