,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.6, 4.5)",46045.61999999999,77715.57999999999
"(0.6, 5.0)",47495.090000000004,79643.17999999998
"(0.6, 5.5)",41300.33999999999,73452.65999999997
"(0.6, 6.0)",45784.79999999999,78867.42999999998
"(0.6, 6.5)",46884.04000000001,75720.31999999999
"(0.6, 7.0)",50574.45999999999,75062.98
"(0.6, 7.5)",45804.87000000002,71571.69999999998
"(0.6, 8.0)",44803.92999999996,73809.41
"(0.6, 8.5)",44489.100000000006,74959.33999999998
"(0.6, 9.0)",41671.009999999995,74451.07999999997
"(0.6, 9.5)",40595.770000000004,77525.4
"(0.65, 1.0)",60183.26,86454.40999999997
"(0.65, 1.5)",55362.83,86482.67000000001
"(0.65, 2.0)",53648.680000000015,82993.51000000004
"(0.65, 2.5)",48816.040000000015,76328.73000000001
"(0.65, 3.0)",46569.980000000025,75253.08
"(0.65, 3.5)",46424.299999999996,75744.74
"(0.65, 4.0)",39259.490000000005,74025.76999999999
"(0.65, 4.5)",42831.170000000006,74230.15000000001
"(0.65, 5.0)",42401.28,74242.38
"(0.65, 5.5)",43043.59999999999,76113.72000000002
"(0.65, 6.0)",40581.029999999984,75906.56000000004
"(0.65, 6.5)",45258.689999999995,77665.98
"(0.65, 7.0)",42234.73000000001,73678.01999999997
"(0.65, 7.5)",45144.350000000006,76636.26999999999
"(0.65, 8.0)",45291.01000000002,78143.55
"(0.65, 8.5)",43052.259999999995,75648.80999999998
"(0.65, 9.0)",43835.13000000001,76406.23999999996
"(0.65, 9.5)",41646.33999999999,76375.20000000001
"(0.7, 1.0)",57295.68,86851.58000000002
"(0.7, 1.5)",50795.020000000026,86017.03
"(0.7, 2.0)",50314.349999999984,79808.00000000001
"(0.7, 2.5)",46711.13000000001,78083.09999999996
"(0.7, 3.0)",43445.269999999975,72018.40999999997
"(0.7, 3.5)",39492.41000000001,76609.11999999997
"(0.7, 4.0)",42712.400000000016,72777.20999999999
"(0.7, 4.5)",42612.730000000025,73054.12
"(0.7, 5.0)",38282.59,74441.41999999997
"(0.7, 5.5)",43762.379999999976,74920.37000000001
"(0.7, 6.0)",43642.81,74804.70999999998
"(0.7, 6.5)",43997.47000000002,72440.70000000001
"(0.7, 7.0)",40732.10999999999,71824.52999999997
"(0.7, 7.5)",45620.53999999999,75427.52999999998
"(0.7, 8.0)",43876.89999999997,77148.15999999999
"(0.7, 8.5)",46351.620000000024,74000.29000000001
"(0.7, 9.0)",46725.60999999999,75968.12
"(0.7, 9.5)",40383.600000000006,72297.63000000002
"(0.75, 1.0)",54760.529999999984,82168.23999999996
"(0.75, 1.5)",53601.66,86258.09999999999
