,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.95, 0.1, 1.0, 0.99)",46.231000000000044,69.815,51.48999999999998,51.49149999999998,46.78759999999997,62.416299999999985,54.994999999999976,55.491999999999976,52.82374999999996,52.21955000000001,52.68434999999998,55.950099999999985
"(0.95, 0.1, 1.5, 0.95)",57.21100000000003,69.34000000000003,51.991,51.992,55.325849999999996,63.87359999999999,56.49149999999999,56.49149999999999,52.50124999999999,50.61565000000002,55.79040000000002,54.77390000000002
"(0.95, 0.1, 1.5, 0.96)",56.678000000000026,68.85150000000003,51.991,51.992,54.68265,63.37899999999999,56.490999999999985,56.490999999999985,52.651999999999994,52.5863,54.64550000000003,52.95720000000003
"(0.95, 0.1, 1.5, 0.97)",55.53500000000004,68.35100000000003,51.991,51.992,54.65740000000001,61.41689999999997,56.49099999999998,56.49099999999998,55.40554999999996,52.28260000000001,56.32530000000003,53.227550000000015
"(0.95, 0.1, 1.5, 0.98)",55.57650000000002,68.85500000000003,51.991,51.992,53.266550000000024,59.923349999999985,56.98999999999998,56.98999999999998,51.68649999999998,51.63780000000001,56.03885,53.56145
"(0.95, 0.1, 1.5, 0.99)",54.47350000000001,68.35750000000002,52.490500000000004,52.4915,53.3342,57.46849999999996,56.48949999999998,56.48949999999998,53.76339999999998,54.0684,55.983749999999986,53.322700000000005
"(0.95, 0.1, 2.0, 0.95)",64.17100000000003,67.87550000000002,48.9955,48.9955,57.67374999999997,59.449849999999984,55.49149999999999,55.49149999999999,53.684999999999995,51.10635,56.886150000000015,55.672900000000055
"(0.95, 0.1, 2.0, 0.96)",63.514000000000024,66.88100000000001,48.9955,48.9955,59.40074999999996,59.44124999999998,55.49249999999999,55.49249999999999,51.483050000000006,49.99854999999998,55.138200000000026,53.87215000000004
"(0.95, 0.1, 2.0, 0.97)",63.74350000000003,66.87800000000003,49.495,49.495,58.129049999999964,60.436149999999984,53.994499999999995,53.994499999999995,56.57744999999999,53.13719999999999,56.02145000000002,55.27925000000002
"(0.95, 0.1, 2.0, 0.98)",62.881500000000024,66.87900000000002,49.495,49.495,58.70689999999995,60.9285,53.995,53.995,56.60945,56.57409999999998,56.17380000000003,56.36965000000001
"(0.95, 0.1, 2.0, 0.99)",62.77350000000003,66.88250000000002,50.493,50.493,57.51489999999995,60.92544999999999,53.994499999999995,53.994499999999995,52.66985,54.19685000000002,53.98645000000001,55.760850000000026
"(0.95, 0.1, 2.5, 0.95)",65.73050000000002,67.883,48.9945,48.9945,56.757599999999954,59.431599999999975,55.98949999999999,55.98949999999999,54.025600000000004,49.713499999999996,52.871150000000036,54.31430000000004
"(0.95, 0.1, 2.5, 0.96)",65.56750000000002,67.3905,49.494,49.494,57.999049999999954,58.948849999999965,55.489,55.489,55.34535000000002,53.00465000000001,53.16770000000004,51.780200000000036
