,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.05, 0.025, 5.5, 0.98)",377.5150000000001,317.4081,365.0822999999998,370.8548499999999,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 5.5, 0.99)",377.5150000000001,317.4081,365.0822999999998,370.8548499999999,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.0, 0.95)",381.33505000000014,321.7921,355.50439999999975,371.43889999999976,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.0, 0.96)",381.33505000000014,321.7921,355.50439999999975,371.43889999999976,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.0, 0.97)",381.33505000000014,321.7921,355.50439999999975,371.43889999999976,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.0, 0.98)",381.33505000000014,321.7921,355.50439999999975,371.43889999999976,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.0, 0.99)",381.33505000000014,321.7921,355.50439999999975,371.43889999999976,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.5, 0.95)",383.4220000000002,325.0462999999999,355.37255000000016,373.52229999999986,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.5, 0.96)",383.4220000000002,325.0462999999999,355.37255000000016,373.52229999999986,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.5, 0.97)",383.4220000000002,325.0462999999999,355.37255000000016,373.52229999999986,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.5, 0.98)",383.4220000000002,325.0462999999999,355.37255000000016,373.52229999999986,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 6.5, 0.99)",383.4220000000002,325.0462999999999,355.37255000000016,373.52229999999986,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.0, 0.95)",385.86030000000005,327.7775999999999,352.01565000000016,375.22199999999987,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.0, 0.96)",385.86030000000005,327.7775999999999,352.01565000000016,375.22199999999987,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.0, 0.97)",385.86030000000005,327.7775999999999,352.01565000000016,375.22199999999987,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.0, 0.98)",385.86030000000005,327.7775999999999,352.01565000000016,375.22199999999987,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.0, 0.99)",385.86030000000005,327.7775999999999,352.01565000000016,375.22199999999987,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.5, 0.95)",389.98035,330.9116,355.0806999999998,378.7441,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.5, 0.96)",389.98035,330.9116,355.0806999999998,378.7441,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.5, 0.97)",389.98035,330.9116,355.0806999999998,378.7441,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.5, 0.98)",389.98035,330.9116,355.0806999999998,378.7441,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 7.5, 0.99)",389.98035,330.9116,355.0806999999998,378.7441,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.0, 0.95)",391.48435,334.81105000000014,348.15135000000015,378.8212,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.0, 0.96)",391.48435,334.81105000000014,348.15135000000015,378.8212,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.0, 0.97)",391.48435,334.81105000000014,348.15135000000015,378.8212,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.0, 0.98)",391.48435,334.81105000000014,348.15135000000015,378.8212,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.0, 0.99)",391.48435,334.81105000000014,348.15135000000015,378.8212,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.5, 0.95)",392.72224999999986,336.94944999999996,343.03565000000015,376.04365,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.5, 0.96)",392.72224999999986,336.94944999999996,343.03565000000015,376.04365,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.5, 0.97)",392.72224999999986,336.94944999999996,343.03565000000015,376.04365,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.5, 0.98)",392.72224999999986,336.94944999999996,343.03565000000015,376.04365,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 8.5, 0.99)",392.72224999999986,336.94944999999996,343.03565000000015,376.04365,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.0, 0.95)",395.89784999999995,340.2395499999999,343.10380000000004,375.12295000000034,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.0, 0.96)",395.89784999999995,340.2395499999999,343.10380000000004,375.12295000000034,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.0, 0.97)",395.89784999999995,340.2395499999999,343.10380000000004,375.12295000000034,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
"(0.05, 0.025, 9.0, 0.98)",395.89784999999995,340.2395499999999,343.10380000000004,375.12295000000034,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0
